,Piped into dwelling,"Piped into compound, yard or plot",Piped to neighbour,Public tap / standpipe (OTHER IMPROVED),"Tube well, Borehole (OTHER IMPROVED)",Protected well (OTHER IMPROVED),Protected spring (OTHER IMPROVED),Bottled water,Cart with small tank / drum (UNIMPROVED),Other,Total,Percentage using improved sources of drinking water,Number of household members
Total,89.8,2.7,1.5,2.5,2.7,0.6,0,0,0,0.2,100,99.8,32452
,,,,,,,,,,,,,
Region,,,,,,,,,,,,,
"Pilot Phase, Upper Egypt",94.2,1.9,1,1.7,1.1,0,0,0,0.1,0,100,99.9,4129
"Expansion Phase, Upper Egypt",92.4,3.3,1.8,1.1,1.3,0,0,0,0,0.3,100,99.7,23811
"Expansion Phase, Lower Egypt",72.2,0.3,0.3,10.6,11.7,4.6,0.2,0.3,0,0,100,100,4512
,,,,,,,,,,,,,
Education of household head,,,,,,,,,,,,,
No education,87.6,4.4,2.8,2.1,2.6,0.3,0,0,0,0.2,100,99.8,8587
Primary/Preparatory,89.2,2.8,1.4,2.2,3.4,0.7,0,0,0,0.2,100,99.8,8946
Secondary,91.3,1.8,0.9,2.6,2.3,0.8,0,0.1,0,0.2,100,99.8,11276
Higher,92.3,0.7,0,3.7,2.4,0.7,0,0.1,0.1,0,100,99.9,3581
Missing/DK,76.3,11.6,0,0,12.1,0,0,0,0,0,100,100,61
