Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Egypt, Arab Rep.",EGY,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,38359.688
"Egypt, Arab Rep.",EGY,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,38359.688
"Egypt, Arab Rep.",EGY,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,37337.654
"Egypt, Arab Rep.",EGY,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,37898.771
"Egypt, Arab Rep.",EGY,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,37151.9
"Egypt, Arab Rep.",EGY,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,37309.7
"Egypt, Arab Rep.",EGY,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,36960
"Egypt, Arab Rep.",EGY,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,36200
"Egypt, Arab Rep.",EGY,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,36710
"Egypt, Arab Rep.",EGY,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,36890
"Egypt, Arab Rep.",EGY,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,35420
"Egypt, Arab Rep.",EGY,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,35380
"Egypt, Arab Rep.",EGY,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,35330
"Egypt, Arab Rep.",EGY,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,35230
"Egypt, Arab Rep.",EGY,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,34780
"Egypt, Arab Rep.",EGY,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,34090
"Egypt, Arab Rep.",EGY,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,34240
"Egypt, Arab Rep.",EGY,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,33380
"Egypt, Arab Rep.",EGY,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,32910
"Egypt, Arab Rep.",EGY,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,34830
"Egypt, Arab Rep.",EGY,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,32596.2
"Egypt, Arab Rep.",EGY,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,32449.2
"Egypt, Arab Rep.",EGY,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,31764.6
"Egypt, Arab Rep.",EGY,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,32830
"Egypt, Arab Rep.",EGY,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,30126.6
"Egypt, Arab Rep.",EGY,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,30151.8
"Egypt, Arab Rep.",EGY,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,29962.8
"Egypt, Arab Rep.",EGY,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,26430
"Egypt, Arab Rep.",EGY,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,26480
"Egypt, Arab Rep.",EGY,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,25710
"Egypt, Arab Rep.",EGY,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,25810
"Egypt, Arab Rep.",EGY,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,25470
"Egypt, Arab Rep.",EGY,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,25670
"Egypt, Arab Rep.",EGY,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,24970
"Egypt, Arab Rep.",EGY,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,24582.6
"Egypt, Arab Rep.",EGY,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,24347.4
"Egypt, Arab Rep.",EGY,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,24452.4
"Egypt, Arab Rep.",EGY,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,24680
"Egypt, Arab Rep.",EGY,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,24450
"Egypt, Arab Rep.",EGY,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,24470
