"Indicator name: Ramsar sites, hectares  Data Source: MEA Secretariat(http://www.informea.org/en), Ramsar Convention(https://rsis.ramsar.org/)",,,
Description: Ramasar sites that have been officially designated and communicated with the Ramsar Secretariat.,,,
INDICATOR NAME (unit),COUNTRY NAME,YEAR,VALUE
"Ramsar sites, hectares (Hectares)",Egypt,1988,105700
"Ramsar sites, hectares (Hectares)",Egypt,2012,309832
"Indicator name: DALYs attributable to the environment (Total)  Data Source: WHO(http://www.who.int/), Global Health Observatory (GHO) database(http://www.who.int/gho/en/)",,,
"Description: The burden of disease attributable to the environment can be expressed as :
Number of deaths, Death rate, Number of DALYs, DALYs rate, Percentage of total deaths attributable to the environment, Percentage of total DALYs attributable to the environment Disability -Adusted Life Years (or DALYs)  are a summary measure of population health that combine (i) the years of life lost as a result of premature death and (ii) the years lived  with a disease. Death and DALY rates are calculated by dividing the number of deaths, resp. DALYs, by the total population (or indicated if not, e.g. if a specific population group such as children under 5 years, is used).
The percentages of deaths, resp. DALYs, attributable to the environment are obtained by dividing the number of attributable deaths, resp. DALYs, by the total number of deaths, resp. DALYs- As for the defnition of the modifiable environment, it inlcudes: Ã¢â‚¬Â¢ Air, soil & water pollution with chemicals or biological agents Ã¢â‚¬Â¢ Ultraviolet and ionizing radiation Ã¢â‚¬Â¢ Built environment Ã¢â‚¬Â¢ Noise, electromagnetic fields Ã¢â‚¬Â¢ Occupational risks Ã¢â‚¬Â¢ Agricultural methods, irrigation schemes Ã¢â‚¬Â¢ Anthropogenic climate changes, ecosystem degradation Ã¢â‚¬Â¢ Individual behaviors related to the environment,  such as hand-washing, food contamination with  unsafe water or dirty hands.",,,
INDICATOR NAME (unit),COUNTRY NAME,YEAR,VALUE
DALYs attributable to the environment (Total) (Number of disability-adjusted life years (DALYs)),Egypt,2012,4461896
"Indicator name: Deaths attributable to the environment (Total)  Data Source: WHO(http://www.who.int/), Global Health Observatory (GHO) database(http://www.who.int/gho/en/)",,,
"Description: The number of deaths attributable to the environment. It represents burden of disease that could be avoided by modifying the environment. Modifiable environment includes: - Air, soil and water pollution with chemicals or biological agents - Ultraviolet and ionizing radiation - Built environment - Noise, electromagnetic fields - Occupational risks - Agricultural methods, irrigation schemes - Anthropogenic climate changes, ecosystem degradation - Individual behaviors related to the environment; such as hand-washing, food contamination with unsafe water or dirty hands.",,,
INDICATOR NAME (unit),COUNTRY NAME,YEAR,VALUE
Deaths attributable to the environment (Total) (Number of deaths),Egypt,2012,101806
"Indicator name: Ramsar sites, number  Data Source: MEA Secretariat(http://www.informea.org/en), Ramsar Convention(https://rsis.ramsar.org/)",,,
Description: Ramasar sites that have been officially designated and communicated with the Ramsar Secretariat.,,,
INDICATOR NAME (unit),COUNTRY NAME,YEAR,VALUE
"Ramsar sites, number (Number)",Egypt,1988,2
"Ramsar sites, number (Number)",Egypt,2012,2
