Year,CO2 emissions (kt)
1960,16054.126
1961,17088.22
1962,18595.357
1963,21554.626
1964,25522.32
1965,27641.846
1966,26563.748
1967,19677.122
1968,22904.082
1969,19695.457
1970,21686.638
1971,23047.095
1972,25511.319
1973,23795.163
1974,26123.708
1975,31099.827
1976,34495.469
1977,37865.442
1978,39313.907
1979,42947.904
1980,45239.779
1981,50978.634
1982,56523.138
1983,57091.523
1984,63838.803
1985,63937.812
1986,74564.778
1987,74810.467
1988,74531.775
1989,72181.228
1990,86820
1991,89390
1992,92300
1993,91830
1994,86430
1995,91870
1996,96770
1997,103960
1998,109270
1999,114670
2000,112860
2001,125010
2002,127740
2003,131240
2004,142690
2005,160590
2006,169130
2007,182230
2008,189120
2009,195490
2010,196500
2011,201610
2012,212410
2013,210430
2014,216650
2015,225950
2016,233960
2017,238690
2018,246260
