Year,Water Use Efficiency (United States dollars per cubic meter),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%)
2000,2.37,103.9
2001,2.43,105.6
2002,2.45,107.2
2003,2.49,108.9
2004,2.57,110.6
2005,2.68,112.3
2006,2.8,114.0
2007,3.0,115.6
2008,3.17,117.3
2009,3.28,119.0
2010,3.4,120.7
2011,3.78,122.4
2012,4.1,124.0
2013,4.2,122.7
2014,4.28,121.3
2015,4.35,110.5646630237
2016,4.44,110.1092896175
2017,4.38,116.9398907104
2018,4.58,116.9398907104
