

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Egypt",818,"Total area of the country (excl. coastal water)",4100,1992,100145.0,"X","","6768"
"Egypt",818,"Total area of the country (excl. coastal water)",4100,1997,100145.0,"X","","6768"
"Egypt",818,"Total area of the country (excl. coastal water)",4100,2002,100145.0,"X","","6768"
"Egypt",818,"Total area of the country (excl. coastal water)",4100,2007,100145.0,"X","","6768"
"Egypt",818,"Total area of the country (excl. coastal water)",4100,2012,100145.0,"X","","6768"
"Egypt",818,"Total area of the country (excl. coastal water)",4100,2017,100145.0,"E","","0"
"Egypt",818,"Arable land area",4101,1992,2615.28,"X","","0"
"Egypt",818,"Arable land area",4101,1997,2778.92,"X","","0"
"Egypt",818,"Arable land area",4101,2002,2936.0,"X","","0"
"Egypt",818,"Arable land area",4101,2007,2564.0,"X","","0"
"Egypt",818,"Arable land area",4101,2012,2829.0,"X","","0"
"Egypt",818,"Arable land area",4101,2017,2786.77,"X","","0"
"Egypt",818,"Permanent crops area",4102,1992,381.0,"X","","0"
"Egypt",818,"Permanent crops area",4102,1997,466.0,"X","","0"
"Egypt",818,"Permanent crops area",4102,2002,488.0,"X","","0"
"Egypt",818,"Permanent crops area",4102,2007,974.0,"X","","0"
"Egypt",818,"Permanent crops area",4102,2012,867.0,"X","","0"
"Egypt",818,"Permanent crops area",4102,2017,947.0,"X","","0"
"Egypt",818,"Cultivated area (arable land + permanent crops)",4103,1992,2996.28,"X","","0"
"Egypt",818,"Cultivated area (arable land + permanent crops)",4103,1997,3244.92,"X","","0"
"Egypt",818,"Cultivated area (arable land + permanent crops)",4103,2002,3424.0,"X","","0"
"Egypt",818,"Cultivated area (arable land + permanent crops)",4103,2007,3538.0,"X","","0"
"Egypt",818,"Cultivated area (arable land + permanent crops)",4103,2012,3696.0,"X","","0"
"Egypt",818,"Cultivated area (arable land + permanent crops)",4103,2017,3733.77,"X","","0"
"Egypt",818,"% of total country area cultivated",4470,1992,2.9919416846,"E","","0"
"Egypt",818,"% of total country area cultivated",4470,1997,3.2402216786,"E","","0"
"Egypt",818,"% of total country area cultivated",4470,2002,3.4190423885,"E","","0"
"Egypt",818,"% of total country area cultivated",4470,2007,3.5328773279,"E","","0"
"Egypt",818,"% of total country area cultivated",4470,2012,3.6906485596,"E","","0"
"Egypt",818,"% of total country area cultivated",4470,2017,3.7283638724,"E","","0"
"Egypt",818,"% of cultivated land irrigated [harvested crop]",4556,1992,100.0,"E","[1]","6749"
"Egypt",818,"% of cultivated land irrigated [harvested crop]",4556,1997,100.0,"E","[2]","6749"
"Egypt",818,"% of cultivated land irrigated [harvested crop]",4556,2002,100.0,"E","[3]","6749"
"Egypt",818,"% of cultivated land irrigated [harvested crop]",4556,2007,100.0,"E","[4]","6749"
"Egypt",818,"% of cultivated land irrigated [harvested crop]",4556,2012,100.0,"E","[5]","6749"
"Egypt",818,"% of cultivated land irrigated [harvested crop]",4556,2017,169.6140897806,"E","","0"
"Egypt",818,"Total population",4104,1992,58666.814,"X","","0"
"Egypt",818,"Total population",4104,1997,64892.27,"X","","0"
"Egypt",818,"Total population",4104,2002,71485.043,"X","","0"
"Egypt",818,"Total population",4104,2007,78232.126,"X","","0"
"Egypt",818,"Total population",4104,2012,86422.243,"X","","0"
"Egypt",818,"Total population",4104,2017,96442.591,"X","","0"
"Egypt",818,"Rural population",4105,1992,34093.157,"X","","0"
"Egypt",818,"Rural population",4105,1997,37932.213,"X","","0"
"Egypt",818,"Rural population",4105,2002,41457.204,"X","","0"
"Egypt",818,"Rural population",4105,2007,45274.468,"X","","0"
"Egypt",818,"Rural population",4105,2012,50100.764,"X","","0"
"Egypt",818,"Rural population",4105,2017,55893.406,"X","","0"
"Egypt",818,"Urban population",4106,1992,25942.379,"X","","0"
"Egypt",818,"Urban population",4106,1997,28218.904,"X","","0"
"Egypt",818,"Urban population",4106,2002,31132.914,"X","","0"
"Egypt",818,"Urban population",4106,2007,34262.785,"X","","0"
"Egypt",818,"Urban population",4106,2012,37712.493,"X","","0"
"Egypt",818,"Urban population",4106,2017,41659.745,"X","","0"
"Egypt",818,"Population density",4107,1992,58.5818702881,"E","","0"
"Egypt",818,"Population density",4107,1997,64.798312447,"E","","0"
"Egypt",818,"Population density",4107,2002,71.3815397673,"E","","0"
"Egypt",818,"Population density",4107,2007,78.1188536622,"E","","0"
