Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Egypt, Arab Rep.",EGY,2008,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,103188
"Egypt, Arab Rep.",EGY,2007,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,102584
"Egypt, Arab Rep.",EGY,2006,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,100317
"Egypt, Arab Rep.",EGY,2005,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,98051
"Egypt, Arab Rep.",EGY,2004,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,96265
"Egypt, Arab Rep.",EGY,2003,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,94482
"Egypt, Arab Rep.",EGY,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,93340
"Egypt, Arab Rep.",EGY,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,92203
"Egypt, Arab Rep.",EGY,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,86255
"Egypt, Arab Rep.",EGY,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,86000
"Egypt, Arab Rep.",EGY,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,86000
"Egypt, Arab Rep.",EGY,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,86000
"Egypt, Arab Rep.",EGY,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,88000
"Egypt, Arab Rep.",EGY,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,89080
"Egypt, Arab Rep.",EGY,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,78846
"Egypt, Arab Rep.",EGY,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,78099
"Egypt, Arab Rep.",EGY,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,61000
"Egypt, Arab Rep.",EGY,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,59000
"Egypt, Arab Rep.",EGY,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,57000
