Year,Methane emissions (kt of CO2 equivalent)
1970,20777.6
1971,20622.6
1972,20403.8
1973,19836.8
1974,20781.7
1975,20993.1
1976,21592.5
1977,21185.7
1978,21391.4
1979,21161.2
1980,20803.5
1981,21127.1
1982,21802
1983,22093.3
1984,22821.1
1985,23176.1
1986,23765.7
1987,24594.9
1988,24796.3
1989,26028.4
1990,24980
1991,27650
1992,30130
1993,32350
1994,34550
1995,36650
1996,38870
1997,41530
1998,42590
1999,45980
2000,48390
2001,48260
2002,49650
2003,49970
2004,50500
2005,50700
2006,52150
2007,53700
2008,54750
2009,53600
2010,53530
2011,55070
2012,56000
2013,55670
2014,55880
2015,55570
2016,56310
2017,56050
2018,56870
