Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts","59","Egypt","5113","Opening stocks","632","Alcohol non food","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5113","Opening stocks","632","Alcohol non food","2015","2015","tonnes","0","F","FAO estimate"
"SCL","Supply Utilization Accounts","59","Egypt","5113","Opening stocks","632","Alcohol non food","2016","2016","tonnes","0","F","FAO estimate"
"SCL","Supply Utilization Accounts","59","Egypt","5113","Opening stocks","632","Alcohol non food","2017","2017","tonnes","0","F","FAO estimate"
"SCL","Supply Utilization Accounts","59","Egypt","5113","Opening stocks","632","Alcohol non food","2018","2018","tonnes","0","F","FAO estimate"
"SCL","Supply Utilization Accounts","59","Egypt","5510","Production","632","Alcohol non food","2014","2014","tonnes","23476","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5510","Production","632","Alcohol non food","2015","2015","tonnes","18988","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5510","Production","632","Alcohol non food","2016","2016","tonnes","22518","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5510","Production","632","Alcohol non food","2017","2017","tonnes","29059","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5510","Production","632","Alcohol non food","2018","2018","tonnes","32502","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","632","Alcohol non food","2014","2014","tonnes","511","","Official data"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","632","Alcohol non food","2015","2015","tonnes","1887","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","632","Alcohol non food","2016","2016","tonnes","1534","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","632","Alcohol non food","2017","2017","tonnes","3087","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","632","Alcohol non food","2018","2018","tonnes","673","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5071","Stock Variation","632","Alcohol non food","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5071","Stock Variation","632","Alcohol non food","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5071","Stock Variation","632","Alcohol non food","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5071","Stock Variation","632","Alcohol non food","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5071","Stock Variation","632","Alcohol non food","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","632","Alcohol non food","2014","2014","tonnes","6964","","Official data"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","632","Alcohol non food","2015","2015","tonnes","14225","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","632","Alcohol non food","2016","2016","tonnes","2940","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","632","Alcohol non food","2017","2017","tonnes","2750","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","632","Alcohol non food","2018","2018","tonnes","1365","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5165","Other uses (non-food)","632","Alcohol non food","2014","2014","tonnes","17023","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5165","Other uses (non-food)","632","Alcohol non food","2015","2015","tonnes","6650","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5165","Other uses (non-food)","632","Alcohol non food","2016","2016","tonnes","21112","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5165","Other uses (non-food)","632","Alcohol non food","2017","2017","tonnes","29396","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5165","Other uses (non-food)","632","Alcohol non food","2018","2018","tonnes","31810","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","632","Alcohol non food","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","632","Alcohol non food","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","632","Alcohol non food","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","632","Alcohol non food","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","632","Alcohol non food","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","231","Almonds shelled","2014","2014","tonnes","3496","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","231","Almonds shelled","2015","2015","tonnes","1822","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","231","Almonds shelled","2016","2016","tonnes","1688","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","231","Almonds shelled","2017","2017","tonnes","844","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5610","Import Quantity","231","Almonds shelled","2018","2018","tonnes","1784","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","231","Almonds shelled","2014","2014","tonnes","0","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","231","Almonds shelled","2015","2015","tonnes","7","*","Unofficial figure"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","231","Almonds shelled","2016","2016","tonnes","4","X","International reliable sources"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","231","Almonds shelled","2017","2017","tonnes","1","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5910","Export Quantity","231","Almonds shelled","2018","2018","tonnes","5","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5164","Tourist consumption","231","Almonds shelled","2014","2014","tonnes","9","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5164","Tourist consumption","231","Almonds shelled","2015","2015","tonnes","6","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5164","Tourist consumption","231","Almonds shelled","2016","2016","tonnes","1","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5164","Tourist consumption","231","Almonds shelled","2017","2017","tonnes","1","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5164","Tourist consumption","231","Almonds shelled","2018","2018","tonnes","1","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","231","Almonds shelled","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","231","Almonds shelled","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","231","Almonds shelled","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","231","Almonds shelled","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5166","Residuals","231","Almonds shelled","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SCL","Supply Utilization Accounts","59","Egypt","5141","Food supply quantity (tonnes)","231","Almonds shelled","2014","2014","tonnes","3487","F","FAO estimate"
"SCL","Supply Utilization Accounts","59","Egypt","5141","Food supply quantity (tonnes)","231","Almonds shelled","2015","2015","tonnes","1809","F","FAO estimate"
"SCL","Supply Utilization Accounts","59","Egypt","5141","Food supply quantity (tonnes)","231","Almonds shelled","2016","2016","tonnes","1683","F","FAO estimate"
"SCL","Supply Utilization Accounts","59","Egypt","5141","Food supply quantity (tonnes)","231","Almonds shelled","2017","2017","tonnes","842","F","FAO estimate"
"SCL","Supply Utilization Accounts","59","Egypt","5141","Food supply quantity (tonnes)","231","Almonds shelled","2018","2018","tonnes","1778","F","FAO estimate"
"SCL","Supply Utilization Accounts","59","Egypt","664","Food supply (kcal/capita/day)","231","Almonds shelled","2014","2014","kcal/capita/day","1","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","664","Food supply (kcal/capita/day)","231","Almonds shelled","2015","2015","kcal/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","664","Food supply (kcal/capita/day)","231","Almonds shelled","2016","2016","kcal/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","664","Food supply (kcal/capita/day)","231","Almonds shelled","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","664","Food supply (kcal/capita/day)","231","Almonds shelled","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","665","Food supply quantity (g/capita/day)","231","Almonds shelled","2014","2014","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","665","Food supply quantity (g/capita/day)","231","Almonds shelled","2015","2015","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","665","Food supply quantity (g/capita/day)","231","Almonds shelled","2016","2016","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","665","Food supply quantity (g/capita/day)","231","Almonds shelled","2017","2017","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","665","Food supply quantity (g/capita/day)","231","Almonds shelled","2018","2018","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","674","Protein supply quantity (g/capita/day)","231","Almonds shelled","2014","2014","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","674","Protein supply quantity (g/capita/day)","231","Almonds shelled","2015","2015","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","674","Protein supply quantity (g/capita/day)","231","Almonds shelled","2016","2016","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","674","Protein supply quantity (g/capita/day)","231","Almonds shelled","2017","2017","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","674","Protein supply quantity (g/capita/day)","231","Almonds shelled","2018","2018","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","684","Fat supply quantity (g/capita/day)","231","Almonds shelled","2014","2014","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","684","Fat supply quantity (g/capita/day)","231","Almonds shelled","2015","2015","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","684","Fat supply quantity (g/capita/day)","231","Almonds shelled","2016","2016","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","684","Fat supply quantity (g/capita/day)","231","Almonds shelled","2017","2017","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","684","Fat supply quantity (g/capita/day)","231","Almonds shelled","2018","2018","g/capita/day","0","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","261","Calories/Year","231","Almonds shelled","2014","2014","million kcal","20536","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","261","Calories/Year","231","Almonds shelled","2015","2015","million kcal","10654","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","261","Calories/Year","231","Almonds shelled","2016","2016","million kcal","9915","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","261","Calories/Year","231","Almonds shelled","2017","2017","million kcal","4961","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","261","Calories/Year","231","Almonds shelled","2018","2018","million kcal","10475","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","271","Proteins/Year","231","Almonds shelled","2014","2014","tonnes","697","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","271","Proteins/Year","231","Almonds shelled","2015","2015","tonnes","362","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","271","Proteins/Year","231","Almonds shelled","2016","2016","tonnes","337","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","271","Proteins/Year","231","Almonds shelled","2017","2017","tonnes","168","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","271","Proteins/Year","231","Almonds shelled","2018","2018","tonnes","356","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","281","Fats/Year","231","Almonds shelled","2014","2014","tonnes","1820","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","281","Fats/Year","231","Almonds shelled","2015","2015","tonnes","944","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","281","Fats/Year","231","Almonds shelled","2016","2016","tonnes","879","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","281","Fats/Year","231","Almonds shelled","2017","2017","tonnes","440","Fc","Calculated data"
"SCL","Supply Utilization Accounts","59","Egypt","281","Fats/Year","231","Almonds shelled","2018","2018","tonnes","928","Fc","Calculated data"
