Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2014-)","59","Egypt","511","Total Population - Both sexes","2501","Population","2014","2014","1000 persons","90425","*","Unofficial figure"
"FBS","Food Balances (2014-)","59","Egypt","511","Total Population - Both sexes","2501","Population","2015","2015","1000 persons","92443","*","Unofficial figure"
"FBS","Food Balances (2014-)","59","Egypt","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","94447","*","Unofficial figure"
"FBS","Food Balances (2014-)","59","Egypt","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","96443","*","Unofficial figure"
"FBS","Food Balances (2014-)","59","Egypt","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","98424","*","Unofficial figure"
"FBS","Food Balances (2014-)","59","Egypt","5301","Domestic supply quantity","2501","Population","2014","2014","1000 tonnes","0","S","Standardized data"
"FBS","Food Balances (2014-)","59","Egypt","5301","Domestic supply quantity","2501","Population","2015","2015","1000 tonnes","0","S","Standardized data"
"FBS","Food Balances (2014-)","59","Egypt","5301","Domestic supply quantity","2501","Population","2016","2016","1000 tonnes","0","S","Standardized data"
"FBS","Food Balances (2014-)","59","Egypt","5301","Domestic supply quantity","2501","Population","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","Food Balances (2014-)","59","Egypt","5301","Domestic supply quantity","2501","Population","2018","2018","1000 tonnes","0","S","Standardized data"
"FBS","Food Balances (2014-)","59","Egypt","5511","Production","2511","Wheat and products","2014","2014","1000 tonnes","8804","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5511","Production","2511","Wheat and products","2015","2015","1000 tonnes","9612","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5511","Production","2511","Wheat and products","2016","2016","1000 tonnes","9344","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","8423","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5511","Production","2511","Wheat and products","2018","2018","1000 tonnes","8349","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5611","Import Quantity","2511","Wheat and products","2014","2014","1000 tonnes","11207","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5611","Import Quantity","2511","Wheat and products","2015","2015","1000 tonnes","10721","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5611","Import Quantity","2511","Wheat and products","2016","2016","1000 tonnes","11183","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5611","Import Quantity","2511","Wheat and products","2017","2017","1000 tonnes","10141","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5611","Import Quantity","2511","Wheat and products","2018","2018","1000 tonnes","9356","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5072","Stock Variation","2511","Wheat and products","2014","2014","1000 tonnes","230","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5072","Stock Variation","2511","Wheat and products","2015","2015","1000 tonnes","362","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5072","Stock Variation","2511","Wheat and products","2016","2016","1000 tonnes","-590","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5072","Stock Variation","2511","Wheat and products","2017","2017","1000 tonnes","276","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5072","Stock Variation","2511","Wheat and products","2018","2018","1000 tonnes","-396","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5911","Export Quantity","2511","Wheat and products","2014","2014","1000 tonnes","249","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5911","Export Quantity","2511","Wheat and products","2015","2015","1000 tonnes","343","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5911","Export Quantity","2511","Wheat and products","2016","2016","1000 tonnes","343","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5911","Export Quantity","2511","Wheat and products","2017","2017","1000 tonnes","419","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5911","Export Quantity","2511","Wheat and products","2018","2018","1000 tonnes","418","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2014-)","59","Egypt","5301","Domestic supply quantity","2511","Wheat and products","2014","2014","1000 tonnes","19532","S","Standardized data"
"FBS","Food Balances (2014-)","59","Egypt","5301","Domestic supply quantity","2511","Wheat and products","2015","2015","1000 tonnes","19628","S","Standardized data"
"FBS","Food Balances (2014-)","59","Egypt","5301","Domestic supply quantity","2511","Wheat and products","2016","2016","1000 tonnes","20774","S","Standardized data"
