index,Year,1.0 Gross freshwater supplied by water supply industry (ISIC 36)mio m3/y,10.0 Construction (ISIC 41-43)mio m3/y,11.0 Other economic activitiesmio m3/y,12.0 Total population supplied by water supply industry (ISIC 36)%,13.0 Urban population supplied by water supply industry (ISIC 36)%,14.0 Rural population supplied by water supply industry (ISIC 36)%,2.0 Losses during transport by ISIC 36mio m3/y,3.0 Net freshwater supplied by water supply industry (ISIC 36)  (=1-2) (=4+5+6+7+8+10+11)mio m3/y,4.0 Householdsmio m3/y,"5.0 Agriculture, forestry and fishing (ISIC 01-03)mio m3/y",6.0 Mining and quarrying (ISIC 05-09)mio m3/y,7.0 Manufacturing (ISIC 10-33)mio m3/y,"8.0    Electricity, gas, steam and air conditioning supply  (ISIC 35)mio m3/y","9.0 of which to:
Electric power generation, transmission and distribution (ISIC 351)mio m3/y"
0,1990,,,,,,,,,1972.0,,,,,
1,1995,,,,,,,,,2264.0,,,,,
2,2000,5300.0,,,,,,1800.0,3500.0,2870.0,,,630.0,,
3,2001,,,,,,,,,,,,,,
4,2002,,,,,,,,,,,,,,
5,2003,5874.0,,,,,,2550.0,3324.0,3240.0,,,,,
6,2004,6074.0,,,,,,2550.0,3524.0,3240.0,,,,,
7,2005,6274.0,,,,,,2550.0,3724.0,3240.0,,,,,
8,2006,8504.0,,,,,,2550.0,5954.0,5954.0,,,,,
9,2007,7675.0,,,,,,2455.0,5220.0,4070.0,,,1150.0,,
10,2008,9000.0,,,,,,2100.0,6900.0,5550.0,,,1350.0,,
11,2009,9020.0,,,98.0,,,2100.0,6920.0,5570.0,,,1350.0,,
12,2010,10483.0,,,,,,,,,,,,,
13,2011,8505.0,,,,,,,,,,,,,
14,2012,8919.0,,,,,,,,,,,,,
15,2013,8788.0,,,,,,,,,,,,,
16,2014,8867.0,,,,,,,,,,,,,
17,2015,8889.0,,,98.0,100.0,95.0,2760.0,6129.0,,,,,,
18,2016,,,,,,,,,,,,,,
19,2017,,,,,,,,,,,,,,
20,2018,,,,,,,,,,,,,,
21,2019,,,,,,,,,,,,,,
