Year,Desalinated watermio m3/y,Exports of watermio m3/y,Fresh groundwater abstracted mio m3/y,Fresh surface water abstracted mio m3/y,Freshwater abstracted (=Fresh surface water abstracted +Fresh groundwater abstracted )mio m3/y,Imports of watermio m3/y,Losses during transportmio m3/y,Net freshwater abstracted (=Freshwater abstracted-Water returned without use)mio m3/y,Reused watermio m3/y,Total freshwater available for use (=Freshwater abstracted+Construction+Other economic activities+Desalinated water-Reused water)mio m3/y,Total freshwater use (=Imports of water-Exports of water)mio m3/y,Water returned without usemio m3/y
1990,,,,54733.0,,,,,,,,
1995,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,,,,,,,,,,,,
2003,75.0,,,,57914.0,,,,10200.0,68189.0,,
2004,60.0,0.0,5884.0,52880.0,58764.0,0.0,,,6200.0,65014.0,,
2005,60.0,0.0,5884.0,53100.0,58984.0,0.0,,,6600.0,65634.0,,
2006,60.0,0.0,5884.0,53600.0,59484.0,0.0,,,7000.0,66534.0,,
2007,75.0,0.0,6474.0,54030.0,60504.0,0.0,,,10200.0,70305.0,,
2008,75.0,0.0,7500.0,56150.0,63649.0,0.0,,,15200.0,78924.0,,
2009,75.0,0.0,7500.0,56650.0,64149.0,0.0,,,15200.0,79424.0,,
2010,,,6500.0,55500.0,62000.0,,,,,,,
2011,,,7500.0,55500.0,63000.0,,,,,,,
2012,,,7700.0,55500.0,63200.0,,,,,,,
2013,,,6700.0,55500.0,62200.0,,,,,,,
2014,,,6900.0,55500.0,62400.0,,,,,,,
2015,100.0,0.0,6900.0,55500.0,62400.0,0.0,2760.0,,20500.0,94900.0,92140.0,
2016,,,,,,,,,,92971.0,,
2017,,,,,,,,,,,,
2018,,,,,,,,,,,,
2019,,,,,,,,,,,,
