Entity,Code,Year,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
Afghanistan,AFG,1987,99.00004213
Afghanistan,AFG,1992,98.85164512
Afghanistan,AFG,1997,98.66544157
Afghanistan,AFG,2002,98.43110659
Afghanistan,AFG,2007,98.1696273
Afghanistan,AFG,2012,98.1696273
Afghanistan,AFG,2017,98.1696273
Africa Eastern and Southern,,1972,57.51533742
Africa Eastern and Southern,,1977,67.6565168186212
Africa Eastern and Southern,,1982,81.1070523954405
Africa Eastern and Southern,,1987,95.0315846832682
Africa Eastern and Southern,,1992,83.508072780126
Africa Eastern and Southern,,1997,80.49730634014
Africa Eastern and Southern,,2002,80.9609710702255
Africa Eastern and Southern,,2007,80.2077037483513
Africa Eastern and Southern,,2012,84.5158197569854
Africa Eastern and Southern,,2017,83.3161624365592
Africa Western and Central,,1972,54.72790428
Africa Western and Central,,1977,59.1839698
Africa Western and Central,,1982,79.6894228973715
Africa Western and Central,,1987,76.7230331402722
Africa Western and Central,,1992,72.4861981320662
Africa Western and Central,,1997,69.9101052183183
Africa Western and Central,,2002,67.1915225873291
Africa Western and Central,,2007,64.2329493843054
Africa Western and Central,,2012,64.6008919532788
Africa Western and Central,,2017,64.7905460055538
Albania,ALB,1992,73.33806482
Albania,ALB,1997,57.74366288
Albania,ALB,2002,52.86449565
Albania,ALB,2007,41.89142298
Albania,ALB,2012,50.12590033
Albania,ALB,2017,63.74137202
Algeria,DZA,1982,74
Algeria,DZA,1987,67.53846154
Algeria,DZA,1992,60.16505799
Algeria,DZA,1997,60.5150825
Algeria,DZA,2002,60.015
Algeria,DZA,2007,59.55755452
Algeria,DZA,2012,59.22848665
Algeria,DZA,2017,63.76409864
Angola,AGO,1987,76.04166667
Angola,AGO,1992,56.37202698
Angola,AGO,1997,40.72657744
Angola,AGO,2002,27.70393928
Angola,AGO,2007,20.78492491
Angola,AGO,2012,20.78492491
Angola,AGO,2017,20.78492491
Antigua and Barbuda,ATG,1992,19.90918617
Antigua and Barbuda,ATG,1997,19.73684211
Antigua and Barbuda,ATG,2002,16.83937824
Antigua and Barbuda,ATG,2007,15.53846154
