Entity,Code,Year,Agricultural irrigated land (% of total agricultural land)
Afghanistan,AFG,2001,5.6684237014277
Afghanistan,AFG,2002,4.62214923317352
Afghanistan,AFG,2003,7.25929833816935
Afghanistan,AFG,2004,5.50236079238216
Afghanistan,AFG,2005,5.84014771828014
Afghanistan,AFG,2006,6.08546557636508
Afghanistan,AFG,2007,5.94038512265893
Afghanistan,AFG,2008,5.77947771036666
Afghanistan,AFG,2009,4.84304932735426
Afghanistan,AFG,2010,5.00118699058321
Afghanistan,AFG,2011,5.39171722500659
Afghanistan,AFG,2012,5.46557636507518
Afghanistan,AFG,2013,5.51833289369559
Afghanistan,AFG,2014,5.74254814033237
Afghanistan,AFG,2015,5.71089422316012
Afghanistan,AFG,2016,6.4811395410182
Afghanistan,AFG,2017,5.99050382484833
Afghanistan,AFG,2018,5.13462907777104
Albania,ALB,2007,17.426273458445
Albania,ALB,2008,9.99153259949196
Albania,ALB,2009,16.8151169566303
Albania,ALB,2010,17.0232248397569
Albania,ALB,2011,17.0108243130724
Albania,ALB,2012,17.0398734704071
Albania,ALB,2013,17.2879642887223
Albania,ALB,2014,12.7566444404704
Albania,ALB,2015,13.4548241505578
Albania,ALB,2016,14.3014301430143
Albania,ALB,2017,14.6256225511704
Albania,ALB,2018,14.9904478481468
Algeria,DZA,2003,1.80926534304623
Algeria,DZA,2004,1.92733017377567
Algeria,DZA,2005,2.00189269855136
Algeria,DZA,2006,2.0276341031058
Algeria,DZA,2007,2.19383302627751
Algeria,DZA,2008,2.0715098404706
Algeria,DZA,2009,2.13711938134364
Algeria,DZA,2010,2.38125392758737
Algeria,DZA,2011,2.38477336426017
Algeria,DZA,2012,2.51924057549376
Algeria,DZA,2013,2.62963312937083
Algeria,DZA,2014,2.74253336873356
Algeria,DZA,2015,2.93141951544273
Algeria,DZA,2016,3.04763516617424
Algeria,DZA,2017,3.16041260466687
Argentina,ARG,2002,1.05353119415741
Argentina,ARG,2011,1.45804250038778
Argentina,ARG,2018,0.935062647881265
Armenia,ARM,2006,8.76224094739239
Armenia,ARM,2007,8.82470460642731
Armenia,ARM,2008,8.90667886550778
Armenia,ARM,2009,8.9217202084407
Armenia,ARM,2010,8.94524495677233
Armenia,ARM,2011,9.10429303339026
Armenia,ARM,2012,9.17409387997623
Armenia,ARM,2013,9.16221033868093
Armenia,ARM,2014,9.1985482239543
Armenia,ARM,2015,9.22645673048249
Armenia,ARM,2016,9.23187022900763
Armenia,ARM,2017,9.22975956088539
Armenia,ARM,2018,9.23508018839802
Australia,AUS,2001,0.549923195084485
Australia,AUS,2002,0.569351230425056
Australia,AUS,2003,0.541069397042093
Australia,AUS,2004,0.60824601297524
Australia,AUS,2005,0.586256490261561
Australia,AUS,2006,0.62203458570933
Australia,AUS,2007,0.482734642800212
Australia,AUS,2008,0.475483446702698
Australia,AUS,2009,0.458287031856284
Australia,AUS,2010,0.489143719511547
Australia,AUS,2011,0.495555650924844
Australia,AUS,2012,0.553121350845829
Australia,AUS,2013,0.639634187344496
Australia,AUS,2014,0.630650360688312
Australia,AUS,2015,0.61734636719053
Australia,AUS,2016,0.626674683743819
Australia,AUS,2017,0.603490239002574
Australia,AUS,2018,0.640298694604271
Austria,AUT,2003,1.1784155855859
Austria,AUT,2005,1.40016802016242
Austria,AUT,2007,1.55471538108194
Austria,AUT,2010,0.952792170408751
Austria,AUT,2013,1.91908408187307
Austria,AUT,2016,1.43062052228884
Azerbaijan,AZE,2001,29.9856709372893
Azerbaijan,AZE,2002,29.9900946279163
Azerbaijan,AZE,2003,29.9289109493964
Azerbaijan,AZE,2004,30.0321773328566
Azerbaijan,AZE,2005,30.0508552935737
Azerbaijan,AZE,2006,30.0357443229605
Azerbaijan,AZE,2007,30.0557132345212
Azerbaijan,AZE,2008,30.0523472155065
Azerbaijan,AZE,2009,29.5251508208438
Azerbaijan,AZE,2010,29.4767978518083
Azerbaijan,AZE,2011,29.4545683309917
Azerbaijan,AZE,2012,29.5262462512845
Azerbaijan,AZE,2013,29.6511384125121
Azerbaijan,AZE,2014,29.7230433779902
Azerbaijan,AZE,2015,30.001257914378
Azerbaijan,AZE,2016,29.8114393463231
Azerbaijan,AZE,2017,29.9298796441654
Azerbaijan,AZE,2018,29.9884925201381
Bahrain,BHR,2001,43.4782608695652
Bangladesh,BGD,2004,51.346133218921
Bangladesh,BGD,2005,51.1223284287402
Bangladesh,BGD,2006,52.6185344827586
Bangladesh,BGD,2013,58.9920948616601
Bangladesh,BGD,2014,59.3691614463128
Bangladesh,BGD,2015,59.4614417435038
Bangladesh,BGD,2016,59.7114923413757
Bangladesh,BGD,2017,60.158936274195
Belarus,BLR,2001,1.25985977212971
Belarus,BLR,2002,1.27423822714681
Belarus,BLR,2003,1.26864010683285
Belarus,BLR,2004,1.27274757173161
Belarus,BLR,2005,1.27388535031847
Belarus,BLR,2006,1.23911587407904
Belarus,BLR,2007,1.24495289367429
Belarus,BLR,2008,0.594370303913872
Belarus,BLR,2009,0.526492662708637
Belarus,BLR,2010,0.337154416722859
Belarus,BLR,2011,0.344788732394366
Belarus,BLR,2012,0.34106412005457
Belarus,BLR,2013,0.339792451097438
Belarus,BLR,2014,0.344391748512854
Belarus,BLR,2015,0.352219449044809
Belarus,BLR,2016,0.355104480410656
Belarus,BLR,2017,0.356722392276901
Belarus,BLR,2018,0.358452620371466
Belgium,BEL,2003,0.136474644447637
Belgium,BEL,2005,0.245842371655821
Belgium,BEL,2007,0.417001975272514
Belgium,BEL,2013,0.42648709315376
Benin,BEN,2002,0.511144130757801
Benin,BEN,2008,0.261971830985915
Bhutan,BTN,2003,7.07635009310987
Bhutan,BTN,2004,6.50684931506849
Bhutan,BTN,2005,6.40809443507589
Bhutan,BTN,2006,6.58578856152513
Bhutan,BTN,2007,6.74955595026643
Bolivia,BOL,2008,0.731225823662799
Bolivia,BOL,2011,0.790797987059669
Bolivia,BOL,2014,0.710837621346348
Botswana,BWA,2003,0.0005427198015196
Botswana,BWA,2004,0.0011615750958299
Botswana,BWA,2005,0.0077394888067643
Botswana,BWA,2006,0.0011626555051738
Botswana,BWA,2007,0.0008144585789636
Botswana,BWA,2008,0.0057957575055059
Botswana,BWA,2009,0.0025464927849371
Botswana,BWA,2010,0.0029001198716213
Botswana,BWA,2011,0.0013499961428681
Botswana,BWA,2012,0.004249237068799
Botswana,BWA,2013,0.0042500579553357
Botswana,BWA,2014,0.0096139055529918
Brazil,BRA,2006,1.94539442937572
Brazil,BRA,2007,1.93928902024541
Brazil,BRA,2017,2.91413407542935
Brunei,BRN,2002,0.909090909090909
Brunei,BRN,2003,0.909090909090909
Brunei,BRN,2004,0.909090909090909
Brunei,BRN,2005,0.909090909090909
Brunei,BRN,2006,0
Brunei,BRN,2007,0.87719298245614
Bulgaria,BGR,2003,1.48328952309425
Bulgaria,BGR,2005,1.02564102564103
Bulgaria,BGR,2007,1.42689601250977
Bulgaria,BGR,2010,1.78147268408551
Bulgaria,BGR,2013,1.97597597597598
Bulgaria,BGR,2016,1.85022903804023
Canada,CAN,2005,1.37050733099779
Canada,CAN,2010,1.32120796156486
Canada,CAN,2015,1.55988617745969
Cape Verde,CPV,2004,4.64
Channel Islands,OWID_CIS,2001,9.33333333333333
Channel Islands,OWID_CIS,2002,14.8648648648649
Channel Islands,OWID_CIS,2003,12.1621621621622
Channel Islands,OWID_CIS,2004,6.66666666666667
Channel Islands,OWID_CIS,2005,3.94736842105263
Channel Islands,OWID_CIS,2008,0.740740740740741
Channel Islands,OWID_CIS,2009,3.29545454545454
Channel Islands,OWID_CIS,2010,3.51262349066959
Channel Islands,OWID_CIS,2011,4.26638917793965
Channel Islands,OWID_CIS,2012,3.13807531380753
Channel Islands,OWID_CIS,2013,3.69978858350951
Channel Islands,OWID_CIS,2014,3.57142857142857
Channel Islands,OWID_CIS,2015,3.67170626349892
Channel Islands,OWID_CIS,2016,3.65984930032293
Chile,CHL,2007,6.95397915077549
China,CHN,2003,9.016651014586
China,CHN,2006,10.2209093565851
China,CHN,2011,10.2067537920807
Colombia,COL,2011,0.944368543419381
Colombia,COL,2013,1.45172663090531
Costa Rica,CRI,2005,1.43490304709141
Costa Rica,CRI,2006,1.50413223140496
Costa Rica,CRI,2007,1.55555555555556
Costa Rica,CRI,2008,1.5170105967652
Costa Rica,CRI,2009,1.50330396475771
Costa Rica,CRI,2010,1.54480483782298
Croatia,HRV,2003,0.752508361204013
Croatia,HRV,2004,0.935374149659864
Croatia,HRV,2005,1.23864574731627
Croatia,HRV,2006,0.32520325203252
Croatia,HRV,2007,0.382695507487521
Croatia,HRV,2009,0.384733764235149
Croatia,HRV,2010,1.08711950817214
Croatia,HRV,2013,0.854973521342436
Croatia,HRV,2016,1.01552393272962
Cyprus,CYP,2001,25
Cyprus,CYP,2002,25
Cyprus,CYP,2003,23.3766233766234
Cyprus,CYP,2004,21.7948717948718
Cyprus,CYP,2005,20.9580838323353
Cyprus,CYP,2006,21.0191082802548
Cyprus,CYP,2007,20.2445652173913
Cyprus,CYP,2008,21.1072664359862
Cyprus,CYP,2009,22.4137931034483
Cyprus,CYP,2010,21.8340611353712
Cyprus,CYP,2011,21.4101461736887
Cyprus,CYP,2012,20.9580838323353
Cyprus,CYP,2013,21.3176513828907
Cyprus,CYP,2014,21.2883097816113
Cyprus,CYP,2015,19.9715819387433
Cyprus,CYP,2016,22.8540085931072
Cyprus,CYP,2017,21.3309174765278
Czechia,CZE,2003,0.395877254626376
Czechia,CZE,2005,0.39906103286385
Czechia,CZE,2007,0.470698987997176
Czechia,CZE,2008,0.235626767200754
Czechia,CZE,2009,0.259495163953763
Czechia,CZE,2010,0.448748228625413
Czechia,CZE,2011,0.472925041380941
Czechia,CZE,2012,0.473372781065089
Czechia,CZE,2013,0.511218403862539
Czechia,CZE,2014,0.511945392491468
Czechia,CZE,2015,0.515168860904407
Czechia,CZE,2016,0.716743119266055
Czechia,CZE,2017,0.710025560920193
Czechia,CZE,2018,0.709622480840193
Denmark,DNK,2001,7.62331838565022
Denmark,DNK,2002,7.65478424015009
Denmark,DNK,2003,7.58088788562829
Denmark,DNK,2004,7.70975056689342
Denmark,DNK,2005,9.67861100849649
Denmark,DNK,2006,9.66789667896679
Denmark,DNK,2007,9.5381149079985
Denmark,DNK,2008,9.52023988005997
Denmark,DNK,2009,9.64312832194381
Denmark,DNK,2010,12.1477532368621
Denmark,DNK,2013,9.20852359208524
Denmark,DNK,2015,5.54311308064584
Denmark,DNK,2016,8.22659704528056
Denmark,DNK,2017,8.70295889201072
Dominican Republic,DOM,2001,8.90218687872764
Dominican Republic,DOM,2002,7.92127236580517
Dominican Republic,DOM,2003,7.7741273100616
Dominican Republic,DOM,2004,8.94497310715763
Dominican Republic,DOM,2005,9.93793959453869
Dominican Republic,DOM,2006,9.1932147290029
Dominican Republic,DOM,2007,8.89532478278858
Dominican Republic,DOM,2008,8.85273258239466
Dominican Republic,DOM,2009,8.96954526491448
Dominican Republic,DOM,2010,8.65665415102211
Dominican Republic,DOM,2011,8.69420108468919
Dominican Republic,DOM,2018,12.2716961712639
Ecuador,ECU,2002,8.58477970627503
Ecuador,ECU,2003,9.26896551724138
Ecuador,ECU,2004,9.52570745316859
Ecuador,ECU,2005,10.0266666666667
Ecuador,ECU,2006,10.2229983879635
Ecuador,ECU,2007,10.7528332433891
Ecuador,ECU,2008,10.1813297515111
Ecuador,ECU,2009,12.6353790613718
Ecuador,ECU,2010,12.5638529148939
Ecuador,ECU,2011,12.7686799798533
Ecuador,ECU,2012,12.6283818886624
Ecuador,ECU,2013,12.5781977904965
Ecuador,ECU,2014,16.6392694063927
Ecuador,ECU,2015,15.6676455346347
Ecuador,ECU,2016,16.2799129804206
Ecuador,ECU,2017,15.0447227191413
Ecuador,ECU,2018,15.0513950073421
El Salvador,SLV,2003,2.01895694308667
El Salvador,SLV,2004,1.99135666468943
El Salvador,SLV,2005,2.11879320296772
El Salvador,SLV,2006,2.28050971146289
El Salvador,SLV,2007,1.74871644213148
El Salvador,SLV,2008,1.95241681309793
El Salvador,SLV,2009,2.18959836509989
El Salvador,SLV,2010,1.17800321525583
El Salvador,SLV,2011,1.09144665036405
El Salvador,SLV,2012,1.35663719251852
El Salvador,SLV,2013,1.40736774175832
El Salvador,SLV,2014,1.46462987297416
El Salvador,SLV,2016,1.54409163877779
El Salvador,SLV,2018,1.50765319919952
Estonia,EST,2005,0.0680349245946252
Estonia,EST,2010,0.0316188870151771
Estonia,EST,2013,0.0310880829015544
Estonia,EST,2016,0.199401794616152
Eswatini,SWZ,2002,3.66339869281046
Ethiopia,ETH,2001,0.323472328412633
Ethiopia,ETH,2002,0.324611449931143
Ethiopia,ETH,2003,0.3815610466036
Ethiopia,ETH,2004,0.36705839702728
Ethiopia,ETH,2005,0.437319520109553
Ethiopia,ETH,2006,0.393056489085011
Ethiopia,ETH,2007,0.512586595204835
Ethiopia,ETH,2008,0.476255324080781
Ethiopia,ETH,2009,0.441331999428326
Ethiopia,ETH,2010,0.510046800997674
Ethiopia,ETH,2011,0.453128957307874
Ethiopia,ETH,2017,1.84001614273803
Ethiopia,ETH,2018,2.08070495739124
Finland,FIN,2001,2.88028802880288
Finland,FIN,2002,2.86225402504472
Finland,FIN,2003,2.84951024042743
Finland,FIN,2004,2.84065690190857
Finland,FIN,2005,2.81467147506377
Finland,FIN,2010,0.655351455124569
Finland,FIN,2013,0.420633163604162
Finland,FIN,2014,0.396982929734021
Finland,FIN,2015,0.351895838831706
Finland,FIN,2016,0.351648351648352
France,FRA,2005,5.77195274647504
France,FRA,2007,5.17597351238269
France,FRA,2010,5.47460269719943
France,FRA,2013,4.94757365232834
Georgia,GEO,2006,3.9714058776807
Georgia,GEO,2007,4.17163289630513
Georgia,GEO,2008,4.01750198886237
Germany,DEU,2006,1.38439749793462
Germany,DEU,2009,2.20893047494966
Germany,DEU,2013,2.1896149008804
Germany,DEU,2016,2.71237317644234
Ghana,GHA,2005,0.0766111143225871
Ghana,GHA,2006,0.124577836855356
Ghana,GHA,2007,0.0756566689359082
Ghana,GHA,2009,0.20379739767027
Ghana,GHA,2010,0.20255119987955
Ghana,GHA,2011,0.202380425549368
Ghana,GHA,2012,0.202209938942035
Ghana,GHA,2013,0.188570423375621
Ghana,GHA,2014,0.242243791190697
Greece,GRC,2003,15.8870576829859
Greece,GRC,2005,16.6146158650843
Greece,GRC,2006,18.64428335241
Greece,GRC,2007,18.6766413001419
Greece,GRC,2008,18.6234817813765
Greece,GRC,2009,18.2275132275132
Greece,GRC,2010,18.3202029643477
Greece,GRC,2011,18.6587344510546
Greece,GRC,2012,18.9070438006316
Greece,GRC,2013,19.1947434642807
Greece,GRC,2014,20.2386711820674
Greece,GRC,2015,19.9064365220197
Greece,GRC,2016,19.6870925684485
Greece,GRC,2017,20.2720419534579
Grenada,GRD,2008,2.85714285714286
Guatemala,GTM,2003,6.163112164297
Guinea,GIN,2003,0.685446009389671
Guyana,GUY,2003,11.2423651114581
Haiti,HTI,2009,5.39989868231338
Haiti,HTI,2013,4.34782608695652
Honduras,HND,2005,2.59142857142857
Hungary,HUN,2003,2.54049445865303
Hungary,HUN,2004,2.0450204638472
Hungary,HUN,2005,1.28091420774348
Hungary,HUN,2006,1.34136684455156
Hungary,HUN,2007,2.08179783020493
Hungary,HUN,2008,1.38238341968912
Hungary,HUN,2009,1.84610063980633
Hungary,HUN,2010,0.840351862249673
Hungary,HUN,2011,1.89432265317594
Hungary,HUN,2012,2.33795428999625
Hungary,HUN,2013,2.25984401750048
Hungary,HUN,2014,1.88677811550152
Hungary,HUN,2015,2.36132218844985
