Entity,Code,Year,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
Afghanistan,AFG,1987,0
Afghanistan,AFG,1992,0.2106667074
Afghanistan,AFG,1997,0.4750041779
Afghanistan,AFG,2002,0.7131333673
Afghanistan,AFG,2007,0.8319875914
Afghanistan,AFG,2012,0.8319875914
Afghanistan,AFG,2017,0.8319875914
Africa Eastern and Southern,,1972,9.0171267894
Africa Eastern and Southern,,1977,8.50546345854807
Africa Eastern and Southern,,1982,5.69319819766387
Africa Eastern and Southern,,1987,1.29576320433839
Africa Eastern and Southern,,1992,5.07720789380213
Africa Eastern and Southern,,1997,4.83103181642724
Africa Eastern and Southern,,2002,4.45028642503346
Africa Eastern and Southern,,2007,4.38267098533798
Africa Eastern and Southern,,2012,3.35973084337378
Africa Eastern and Southern,,2017,5.99383762930368
Africa Western and Central,,1972,12.3697414126
Africa Western and Central,,1977,11.3402061856
Africa Western and Central,,1982,5.37624180303032
Africa Western and Central,,1987,7.03418687414874
Africa Western and Central,,1992,8.6133634299817
Africa Western and Central,,1997,9.38216538159333
Africa Western and Central,,2002,9.75206746320701
Africa Western and Central,,2007,10.2476171388734
Africa Western and Central,,2012,9.78666724225002
Africa Western and Central,,2017,9.66420878517127
Albania,ALB,1992,10.601912873
Albania,ALB,1997,13.2251163961
Albania,ALB,2002,13.778921545
Albania,ALB,2007,18.2801804359
Albania,ALB,2012,19.3911610437
Albania,ALB,2017,16.3262431328
Algeria,DZA,1982,4
Algeria,DZA,1987,9.1282051282
Algeria,DZA,1992,13.6151696515
Algeria,DZA,1997,10.4428530546
Algeria,DZA,2002,8.01625
Algeria,DZA,2007,6.2188170075
Algeria,DZA,2012,4.9258160237
Algeria,DZA,2017,1.8256547505
Angola,AGO,1987,10
Angola,AGO,1992,18.5516506922
Angola,AGO,1997,25.3537284895
Angola,AGO,2002,30.9831688218
Angola,AGO,2007,33.9472938509
Angola,AGO,2012,33.9472938509
Angola,AGO,2017,33.9472938509
Antigua and Barbuda,ATG,1992,20.293398533
Antigua and Barbuda,ATG,1997,20.8502024291
Antigua and Barbuda,ATG,2002,21.2435233161
Antigua and Barbuda,ATG,2007,21.5384615385
Antigua and Barbuda,ATG,2012,21.7391304348
Antigua and Barbuda,ATG,2017,21.7391304348
Arab World,,2017,5.12446157764252
Argentina,ARG,1997,10.5348391221
Argentina,ARG,2002,12.5184765493
Argentina,ARG,2007,11.3644453361
Argentina,ARG,2012,10.5876124934
Argentina,ARG,2017,10.5876124934
Armenia,ARM,1997,4.1629267387
Armenia,ARM,2002,4.4190608054
Armenia,ARM,2007,4.8891250443
Armenia,ARM,2012,7.8952737164
Armenia,ARM,2017,4.2710586922
Australia,AUS,2002,10.7472902233
Australia,AUS,2007,15.0808884014
Australia,AUS,2012,16.7800736625
Australia,AUS,2017,16.0807055697
